Processo de otimização com POPULAÇÃO INICIAL [100] e QUANTIDADE DE EVOLUÇÕES [5]

2025-02-14T01:27:14.5966275 | Evolução [55] | Melhor avaliação [2319] | Pior avaliação [2324]
2025-02-14T01:28:31.6768546 | Evolução [56] | Melhor avaliação [2319] | Pior avaliação [2324]
2025-02-14T01:29:50.412116 | Evolução [57] | Melhor avaliação [2319] | Pior avaliação [2324]
2025-02-14T01:31:09.3372326 | Evolução [58] | Melhor avaliação [2319] | Pior avaliação [2324]
2025-02-14T01:32:24.1771983 | Evolução [59] | Melhor avaliação [2319] | Pior avaliação [2324]
2025-02-14T01:33:50.0297328 | Evolução [60] | Melhor avaliação [2319] | Pior avaliação [2324]
2025-02-14T01:35:09.1186709 | Evolução [61] | Melhor avaliação [2319] | Pior avaliação [2324]
2025-02-14T01:36:34.5145977 | Evolução [62] | Melhor avaliação [2319] | Pior avaliação [2319]
2025-02-14T01:37:48.866433 | Evolução [63] | Melhor avaliação [2319] | Pior avaliação [2319]
2025-02-14T01:39:01.9524853 | Evolução [64] | Melhor avaliação [2319] | Pior avaliação [2319]
2025-02-14T01:40:19.0651429 | Evolução [65] | Melhor avaliação [2319] | Pior avaliação [2319]
2025-02-14T01:41:31.7145092 | Evolução [66] | Melhor avaliação [2319] | Pior avaliação [2319]
2025-02-14T01:42:46.6708267 | Evolução [67] | Melhor avaliação [2319] | Pior avaliação [2319]
2025-02-14T01:44:07.0272543 | Evolução [68] | Melhor avaliação [2319] | Pior avaliação [2319]
2025-02-14T01:45:22.2034997 | Evolução [69] | Melhor avaliação [2319] | Pior avaliação [2319]
2025-02-14T01:46:32.2155616 | Evolução [70] | Melhor avaliação [2319] | Pior avaliação [2319]
2025-02-14T01:47:49.3187317 | Evolução [71] | Melhor avaliação [2319] | Pior avaliação [2319]
2025-02-14T01:49:00.9969632 | Evolução [72] | Melhor avaliação [2319] | Pior avaliação [2319]
2025-02-14T01:50:15.6992859 | Evolução [73] | Melhor avaliação [2319] | Pior avaliação [2319]
2025-02-14T01:51:29.8504298 | Evolução [74] | Melhor avaliação [2319] | Pior avaliação [2319]
2025-02-14T01:52:42.2048232 | Evolução [75] | Melhor avaliação [2319] | Pior avaliação [2319]
2025-02-14T01:53:57.6519339 | Evolução [76] | Melhor avaliação [2319] | Pior avaliação [2319]
2025-02-14T01:55:13.5284077 | Evolução [77] | Melhor avaliação [2319] | Pior avaliação [2319]
2025-02-14T01:56:24.4561982 | Evolução [78] | Melhor avaliação [2319] | Pior avaliação [2319]
2025-02-14T01:57:39.5042084 | Evolução [79] | Melhor avaliação [2319] | Pior avaliação [2319]
2025-02-14T01:58:49.5173172 | Evolução [80] | Melhor avaliação [2319] | Pior avaliação [2319]
2025-02-14T02:00:02.290648 | Evolução [81] | Melhor avaliação [2319] | Pior avaliação [2319]
2025-02-14T02:01:09.1310743 | Evolução [82] | Melhor avaliação [2319] | Pior avaliação [2319]
2025-02-14T02:02:22.4676845 | Evolução [83] | Melhor avaliação [2319] | Pior avaliação [2319]
2025-02-14T02:03:38.1799045 | Evolução [84] | Melhor avaliação [2319] | Pior avaliação [2319]
2025-02-14T02:04:45.9911124 | Evolução [85] | Melhor avaliação [2319] | Pior avaliação [2319]
2025-02-14T02:06:02.1707536 | Evolução [86] | Melhor avaliação [2319] | Pior avaliação [2319]
2025-02-14T02:07:13.8472283 | Evolução [87] | Melhor avaliação [2319] | Pior avaliação [2319]
2025-02-14T02:08:25.0326962 | Evolução [88] | Melhor avaliação [2319] | Pior avaliação [2319]
2025-02-14T02:09:29.6068746 | Evolução [89] | Melhor avaliação [2319] | Pior avaliação [2319]
2025-02-14T02:10:44.7964081 | Evolução [90] | Melhor avaliação [2319] | Pior avaliação [2319]
2025-02-14T02:11:56.800371 | Evolução [91] | Melhor avaliação [2319] | Pior avaliação [2319]
2025-02-14T02:13:12.7598923 | Evolução [92] | Melhor avaliação [2319] | Pior avaliação [2319]
2025-02-14T02:14:26.5639955 | Evolução [93] | Melhor avaliação [2319] | Pior avaliação [2319]
2025-02-14T02:15:42.719074 | Evolução [94] | Melhor avaliação [2319] | Pior avaliação [2319]
2025-02-14T02:16:55.3363733 | Evolução [95] | Melhor avaliação [2319] | Pior avaliação [2319]
2025-02-14T02:18:07.675401 | Evolução [96] | Melhor avaliação [2319] | Pior avaliação [2319]
2025-02-14T02:19:19.0796885 | Evolução [97] | Melhor avaliação [2319] | Pior avaliação [2319]
2025-02-14T02:20:28.6868606 | Evolução [98] | Melhor avaliação [2319] | Pior avaliação [2319]
2025-02-14T02:21:48.1868376 | Evolução [99] | Melhor avaliação [2319] | Pior avaliação [2319]
2025-02-14T02:23:00.6777422 | Evolução [100] | Melhor avaliação [2319] | Pior avaliação [2319]
2025-02-14T02:24:07.8997504 | Evolução [101] | Melhor avaliação [2319] | Pior avaliação [2319]
2025-02-14T02:25:15.488768 | Evolução [102] | Melhor avaliação [2319] | Pior avaliação [2319]
2025-02-14T02:26:26.0547753 | Evolução [103] | Melhor avaliação [2319] | Pior avaliação [2319]
2025-02-14T02:27:36.6336636 | Evolução [104] | Melhor avaliação [2319] | Pior avaliação [2319]
